observation_date,UNRATE
1948-01-01,3.40
1948-02-01,3.80
1948-03-01,4.00
1948-04-01,3.90
1948-05-01,3.50
1948-06-01,3.60
1948-07-01,3.60
1948-08-01,3.90
1948-09-01,3.80
1948-10-01,3.70
1948-11-01,3.80
1948-12-01,4.00
1949-01-01,4.30
1949-02-01,4.70
1949-03-01,5.00
1949-04-01,5.30
1949-05-01,6.10
1949-06-01,6.20
1949-07-01,6.70
1949-08-01,6.80
1949-09-01,6.60
1949-10-01,7.90
1949-11-01,6.40
1949-12-01,6.60
1950-01-01,6.50
1950-02-01,6.40
1950-03-01,6.30
1950-04-01,5.80
1950-05-01,5.50
1950-06-01,5.40
1950-07-01,5.00
1950-08-01,4.50
1950-09-01,4.40
1950-10-01,4.20
1950-11-01,4.20
1950-12-01,4.30
1951-01-01,3.70
1951-02-01,3.40
1951-03-01,3.40
1951-04-01,3.10
1951-05-01,3.00
1951-06-01,3.20
1951-07-01,3.10
1951-08-01,3.10
1951-09-01,3.30
1951-10-01,3.50
1951-11-01,3.50
1951-12-01,3.10
1952-01-01,3.20
1952-02-01,3.10
1952-03-01,2.90
1952-04-01,2.90
1952-05-01,3.00
1952-06-01,3.00
1952-07-01,3.20
1952-08-01,3.40
1952-09-01,3.10
1952-10-01,3.00
1952-11-01,2.80
1952-12-01,2.70
1953-01-01,2.90
1953-02-01,2.60
1953-03-01,2.60
1953-04-01,2.70
1953-05-01,2.50
1953-06-01,2.50
1953-07-01,2.60
1953-08-01,2.70
1953-09-01,2.90
1953-10-01,3.10
1953-11-01,3.50
1953-12-01,4.50
1954-01-01,4.90
1954-02-01,5.20
1954-03-01,5.70
1954-04-01,5.90
1954-05-01,5.90
1954-06-01,5.60
1954-07-01,5.80
1954-08-01,6.00
1954-09-01,6.10
1954-10-01,5.70
1954-11-01,5.30
1954-12-01,5.00
1955-01-01,4.90
1955-02-01,4.70
1955-03-01,4.60
1955-04-01,4.70
1955-05-01,4.30
1955-06-01,4.20
1955-07-01,4.00
1955-08-01,4.20
1955-09-01,4.10
1955-10-01,4.30
1955-11-01,4.20
1955-12-01,4.20
1956-01-01,4.00
1956-02-01,3.90
1956-03-01,4.20
1956-04-01,4.00
1956-05-01,4.30
1956-06-01,4.30
1956-07-01,4.40
1956-08-01,4.10
1956-09-01,3.90
1956-10-01,3.90
1956-11-01,4.30
1956-12-01,4.20
1957-01-01,4.20
1957-02-01,3.90
1957-03-01,3.70
1957-04-01,3.90
1957-05-01,4.10
1957-06-01,4.30
1957-07-01,4.20
1957-08-01,4.10
1957-09-01,4.40
1957-10-01,4.50
1957-11-01,5.10
1957-12-01,5.20
1958-01-01,5.80
1958-02-01,6.40
1958-03-01,6.70
1958-04-01,7.40
1958-05-01,7.40
1958-06-01,7.30
1958-07-01,7.50
1958-08-01,7.40
1958-09-01,7.10
1958-10-01,6.70
1958-11-01,6.20
1958-12-01,6.20
1959-01-01,6.00
1959-02-01,5.90
1959-03-01,5.60
1959-04-01,5.20
1959-05-01,5.10
1959-06-01,5.00
1959-07-01,5.10
1959-08-01,5.20
1959-09-01,5.50
1959-10-01,5.70
1959-11-01,5.80
1959-12-01,5.30
1960-01-01,5.20
1960-02-01,4.80
1960-03-01,5.40
1960-04-01,5.20
1960-05-01,5.10
1960-06-01,5.40
1960-07-01,5.50
1960-08-01,5.60
1960-09-01,5.50
1960-10-01,6.10
1960-11-01,6.10
1960-12-01,6.60
1961-01-01,6.60
1961-02-01,6.90
1961-03-01,6.90
1961-04-01,7.00
1961-05-01,7.10
1961-06-01,6.90
1961-07-01,7.00
1961-08-01,6.60
1961-09-01,6.70
1961-10-01,6.50
1961-11-01,6.10
1961-12-01,6.00
1962-01-01,5.80
1962-02-01,5.50
1962-03-01,5.60
1962-04-01,5.60
1962-05-01,5.50
1962-06-01,5.50
1962-07-01,5.40
1962-08-01,5.70
1962-09-01,5.60
1962-10-01,5.40
1962-11-01,5.70
1962-12-01,5.50
1963-01-01,5.70
1963-02-01,5.90
1963-03-01,5.70
1963-04-01,5.70
1963-05-01,5.90
1963-06-01,5.60
1963-07-01,5.60
1963-08-01,5.40
1963-09-01,5.50
1963-10-01,5.50
1963-11-01,5.70
1963-12-01,5.50
1964-01-01,5.60
1964-02-01,5.40
1964-03-01,5.40
1964-04-01,5.30
1964-05-01,5.10
1964-06-01,5.20
1964-07-01,4.90
1964-08-01,5.00
1964-09-01,5.10
1964-10-01,5.10
1964-11-01,4.80
1964-12-01,5.00
1965-01-01,4.90
1965-02-01,5.10
1965-03-01,4.70
1965-04-01,4.80
1965-05-01,4.60
1965-06-01,4.60
1965-07-01,4.40
1965-08-01,4.40
1965-09-01,4.30
1965-10-01,4.20
1965-11-01,4.10
1965-12-01,4.00
1966-01-01,4.00
1966-02-01,3.80
1966-03-01,3.80
1966-04-01,3.80
1966-05-01,3.90
1966-06-01,3.80
1966-07-01,3.80
1966-08-01,3.80
1966-09-01,3.70
1966-10-01,3.70
1966-11-01,3.60
1966-12-01,3.80
1967-01-01,3.90
1967-02-01,3.80
1967-03-01,3.80
1967-04-01,3.80
1967-05-01,3.80
1967-06-01,3.90
1967-07-01,3.80
1967-08-01,3.80
1967-09-01,3.80
1967-10-01,4.00
1967-11-01,3.90
1967-12-01,3.80
1968-01-01,3.70
1968-02-01,3.80
1968-03-01,3.70
1968-04-01,3.50
1968-05-01,3.50
1968-06-01,3.70
1968-07-01,3.70
1968-08-01,3.50
1968-09-01,3.40
1968-10-01,3.40
1968-11-01,3.40
1968-12-01,3.40
1969-01-01,3.40
1969-02-01,3.40
1969-03-01,3.40
1969-04-01,3.40
1969-05-01,3.40
1969-06-01,3.50
1969-07-01,3.50
1969-08-01,3.50
1969-09-01,3.70
1969-10-01,3.70
1969-11-01,3.50
1969-12-01,3.50
1970-01-01,3.90
1970-02-01,4.20
1970-03-01,4.40
1970-04-01,4.60
1970-05-01,4.80
1970-06-01,4.90
1970-07-01,5.00
1970-08-01,5.10
1970-09-01,5.40
1970-10-01,5.50
1970-11-01,5.90
1970-12-01,6.10
1971-01-01,5.90
1971-02-01,5.90
1971-03-01,6.00
1971-04-01,5.90
1971-05-01,5.90
1971-06-01,5.90
1971-07-01,6.00
1971-08-01,6.10
1971-09-01,6.00
1971-10-01,5.80
1971-11-01,6.00
1971-12-01,6.00
1972-01-01,5.80
1972-02-01,5.70
1972-03-01,5.80
1972-04-01,5.70
1972-05-01,5.70
1972-06-01,5.70
1972-07-01,5.60
1972-08-01,5.60
1972-09-01,5.50
1972-10-01,5.60
1972-11-01,5.30
1972-12-01,5.20
1973-01-01,4.90
1973-02-01,5.00
1973-03-01,4.90
1973-04-01,5.00
1973-05-01,4.90
1973-06-01,4.90
1973-07-01,4.80
1973-08-01,4.80
1973-09-01,4.80
1973-10-01,4.60
1973-11-01,4.80
1973-12-01,4.90
1974-01-01,5.10
1974-02-01,5.20
1974-03-01,5.10
1974-04-01,5.10
1974-05-01,5.10
1974-06-01,5.40
1974-07-01,5.50
1974-08-01,5.50
1974-09-01,5.90
1974-10-01,6.00
1974-11-01,6.60
1974-12-01,7.20
1975-01-01,8.10
1975-02-01,8.10
1975-03-01,8.60
1975-04-01,8.80
1975-05-01,9.00
1975-06-01,8.80
1975-07-01,8.60
1975-08-01,8.40
1975-09-01,8.40
1975-10-01,8.40
1975-11-01,8.30
1975-12-01,8.20
1976-01-01,7.90
1976-02-01,7.70
1976-03-01,7.60
1976-04-01,7.70
1976-05-01,7.40
1976-06-01,7.60
1976-07-01,7.80
1976-08-01,7.80
1976-09-01,7.60
1976-10-01,7.70
1976-11-01,7.80
1976-12-01,7.80
1977-01-01,7.50
1977-02-01,7.60
1977-03-01,7.40
1977-04-01,7.20
1977-05-01,7.00
1977-06-01,7.20
1977-07-01,6.90
1977-08-01,7.00
1977-09-01,6.80
1977-10-01,6.80
1977-11-01,6.80
1977-12-01,6.40
1978-01-01,6.40
1978-02-01,6.30
1978-03-01,6.30
1978-04-01,6.10
1978-05-01,6.00
1978-06-01,5.90
1978-07-01,6.20
1978-08-01,5.90
1978-09-01,6.00
1978-10-01,5.80
1978-11-01,5.90
1978-12-01,6.00
1979-01-01,5.90
1979-02-01,5.90
1979-03-01,5.80
1979-04-01,5.80
1979-05-01,5.60
1979-06-01,5.70
1979-07-01,5.70
1979-08-01,6.00
1979-09-01,5.90
1979-10-01,6.00
1979-11-01,5.90
1979-12-01,6.00
1980-01-01,6.30
1980-02-01,6.30
1980-03-01,6.30
1980-04-01,6.90
1980-05-01,7.50
1980-06-01,7.60
1980-07-01,7.80
1980-08-01,7.70
1980-09-01,7.50
1980-10-01,7.50
1980-11-01,7.50
1980-12-01,7.20
1981-01-01,7.50
1981-02-01,7.40
1981-03-01,7.40
1981-04-01,7.20
1981-05-01,7.50
1981-06-01,7.50
1981-07-01,7.20
1981-08-01,7.40
1981-09-01,7.60
1981-10-01,7.90
1981-11-01,8.30
1981-12-01,8.50
1982-01-01,8.60
1982-02-01,8.90
1982-03-01,9.00
1982-04-01,9.30
1982-05-01,9.40
1982-06-01,9.60
1982-07-01,9.80
1982-08-01,9.80
1982-09-01,10.10
1982-10-01,10.40
1982-11-01,10.80
1982-12-01,10.80
1983-01-01,10.40
1983-02-01,10.40
1983-03-01,10.30
1983-04-01,10.20
1983-05-01,10.10
1983-06-01,10.10
1983-07-01,9.40
1983-08-01,9.50
1983-09-01,9.20
1983-10-01,8.80
1983-11-01,8.50
1983-12-01,8.30
1984-01-01,8.00
1984-02-01,7.80
1984-03-01,7.80
1984-04-01,7.70
1984-05-01,7.40
1984-06-01,7.20
1984-07-01,7.50
1984-08-01,7.50
1984-09-01,7.30
1984-10-01,7.40
1984-11-01,7.20
1984-12-01,7.30
1985-01-01,7.30
1985-02-01,7.20
1985-03-01,7.20
1985-04-01,7.30
1985-05-01,7.20
1985-06-01,7.40
1985-07-01,7.40
1985-08-01,7.10
1985-09-01,7.10
1985-10-01,7.10
1985-11-01,7.00
1985-12-01,7.00
1986-01-01,6.70
1986-02-01,7.20
1986-03-01,7.20
1986-04-01,7.10
1986-05-01,7.20
1986-06-01,7.20
1986-07-01,7.00
1986-08-01,6.90
1986-09-01,7.00
1986-10-01,7.00
1986-11-01,6.90
1986-12-01,6.60
1987-01-01,6.60
1987-02-01,6.60
1987-03-01,6.60
1987-04-01,6.30
1987-05-01,6.30
1987-06-01,6.20
1987-07-01,6.10
1987-08-01,6.00
1987-09-01,5.90
1987-10-01,6.00
1987-11-01,5.80
1987-12-01,5.70
1988-01-01,5.70
1988-02-01,5.70
1988-03-01,5.70
1988-04-01,5.40
1988-05-01,5.60
1988-06-01,5.40
1988-07-01,5.40
1988-08-01,5.60
1988-09-01,5.40
1988-10-01,5.40
1988-11-01,5.30
1988-12-01,5.30
1989-01-01,5.40
1989-02-01,5.20
1989-03-01,5.00
1989-04-01,5.20
1989-05-01,5.20
1989-06-01,5.30
1989-07-01,5.20
1989-08-01,5.20
1989-09-01,5.30
1989-10-01,5.30
1989-11-01,5.40
1989-12-01,5.40
1990-01-01,5.40
1990-02-01,5.30
1990-03-01,5.20
1990-04-01,5.40
1990-05-01,5.40
1990-06-01,5.20
1990-07-01,5.50
1990-08-01,5.70
1990-09-01,5.90
1990-10-01,5.90
1990-11-01,6.20
1990-12-01,6.30
1991-01-01,6.40
1991-02-01,6.60
1991-03-01,6.80
1991-04-01,6.70
1991-05-01,6.90
1991-06-01,6.90
1991-07-01,6.80
1991-08-01,6.90
1991-09-01,6.90
1991-10-01,7.00
1991-11-01,7.00
1991-12-01,7.30
1992-01-01,7.30
1992-02-01,7.40
1992-03-01,7.40
1992-04-01,7.40
1992-05-01,7.60
1992-06-01,7.80
1992-07-01,7.70
1992-08-01,7.60
1992-09-01,7.60
1992-10-01,7.30
1992-11-01,7.40
1992-12-01,7.40
1993-01-01,7.30
1993-02-01,7.10
1993-03-01,7.00
1993-04-01,7.10
1993-05-01,7.10
1993-06-01,7.00
1993-07-01,6.90
1993-08-01,6.80
1993-09-01,6.70
1993-10-01,6.80
1993-11-01,6.60
1993-12-01,6.50
1994-01-01,6.60
1994-02-01,6.60
1994-03-01,6.50
1994-04-01,6.40
1994-05-01,6.10
1994-06-01,6.10
1994-07-01,6.10
1994-08-01,6.00
1994-09-01,5.90
1994-10-01,5.80
1994-11-01,5.60
1994-12-01,5.50
1995-01-01,5.60
1995-02-01,5.40
1995-03-01,5.40
1995-04-01,5.80
1995-05-01,5.60
1995-06-01,5.60
1995-07-01,5.70
1995-08-01,5.70
1995-09-01,5.60
1995-10-01,5.50
1995-11-01,5.60
1995-12-01,5.60
1996-01-01,5.60
1996-02-01,5.50
1996-03-01,5.50
1996-04-01,5.60
1996-05-01,5.60
1996-06-01,5.30
1996-07-01,5.50
1996-08-01,5.10
1996-09-01,5.20
1996-10-01,5.20
1996-11-01,5.40
1996-12-01,5.40
1997-01-01,5.30
1997-02-01,5.20
1997-03-01,5.20
1997-04-01,5.10
1997-05-01,4.90
1997-06-01,5.00
1997-07-01,4.90
1997-08-01,4.80
1997-09-01,4.90
1997-10-01,4.70
1997-11-01,4.60
1997-12-01,4.70
1998-01-01,4.60
1998-02-01,4.60
1998-03-01,4.70
1998-04-01,4.30
1998-05-01,4.40
1998-06-01,4.50
1998-07-01,4.50
1998-08-01,4.50
1998-09-01,4.60
1998-10-01,4.50
1998-11-01,4.40
1998-12-01,4.40
1999-01-01,4.30
1999-02-01,4.40
1999-03-01,4.20
1999-04-01,4.30
1999-05-01,4.20
1999-06-01,4.30
1999-07-01,4.30
1999-08-01,4.20
1999-09-01,4.20
1999-10-01,4.10
1999-11-01,4.10
1999-12-01,4.00
2000-01-01,4.00
2000-02-01,4.10
2000-03-01,4.00
2000-04-01,3.80
2000-05-01,4.00
2000-06-01,4.00
2000-07-01,4.00
2000-08-01,4.10
2000-09-01,3.90
2000-10-01,3.90
2000-11-01,3.90
2000-12-01,3.90
2001-01-01,4.20
2001-02-01,4.20
2001-03-01,4.30
2001-04-01,4.40
2001-05-01,4.30
2001-06-01,4.50
2001-07-01,4.60
2001-08-01,4.90
2001-09-01,5.00
2001-10-01,5.30
2001-11-01,5.50
2001-12-01,5.70
2002-01-01,5.70
2002-02-01,5.70
2002-03-01,5.70
2002-04-01,5.90
2002-05-01,5.80
2002-06-01,5.80
2002-07-01,5.80
2002-08-01,5.70
2002-09-01,5.70
2002-10-01,5.70
2002-11-01,5.90
2002-12-01,6.00
2003-01-01,5.80
2003-02-01,5.90
2003-03-01,5.90
2003-04-01,6.00
2003-05-01,6.10
2003-06-01,6.30
2003-07-01,6.20
2003-08-01,6.10
2003-09-01,6.10
2003-10-01,6.00
2003-11-01,5.80
2003-12-01,5.70
2004-01-01,5.70
2004-02-01,5.60
2004-03-01,5.80
2004-04-01,5.60
2004-05-01,5.60
2004-06-01,5.60
2004-07-01,5.50
2004-08-01,5.40
2004-09-01,5.40
2004-10-01,5.50
2004-11-01,5.40
2004-12-01,5.40
2005-01-01,5.30
2005-02-01,5.40
2005-03-01,5.20
2005-04-01,5.20
2005-05-01,5.10
2005-06-01,5.00
2005-07-01,5.00
2005-08-01,4.90
2005-09-01,5.00
2005-10-01,5.00
2005-11-01,5.00
2005-12-01,4.90
2006-01-01,4.70
2006-02-01,4.80
2006-03-01,4.70
2006-04-01,4.70
2006-05-01,4.60
2006-06-01,4.60
2006-07-01,4.70
2006-08-01,4.70
2006-09-01,4.50
2006-10-01,4.40
2006-11-01,4.50
2006-12-01,4.40
2007-01-01,4.60
2007-02-01,4.50
2007-03-01,4.40
2007-04-01,4.50
2007-05-01,4.40
2007-06-01,4.60
2007-07-01,4.70
2007-08-01,4.60
2007-09-01,4.70
2007-10-01,4.70
2007-11-01,4.70
2007-12-01,5.00
2008-01-01,5.00
2008-02-01,4.90
2008-03-01,5.10
2008-04-01,5.00
2008-05-01,5.40
2008-06-01,5.60
2008-07-01,5.80
2008-08-01,6.10
2008-09-01,6.10
2008-10-01,6.50
2008-11-01,6.80
2008-12-01,7.30
2009-01-01,7.80
2009-02-01,8.30
2009-03-01,8.70
2009-04-01,9.00
2009-05-01,9.40
2009-06-01,9.50
2009-07-01,9.50
2009-08-01,9.60
2009-09-01,9.80
2009-10-01,10.00
2009-11-01,9.90
2009-12-01,9.90
2010-01-01,9.80
2010-02-01,9.80
2010-03-01,9.90
2010-04-01,9.90
2010-05-01,9.60
2010-06-01,9.40
2010-07-01,9.40
2010-08-01,9.50
2010-09-01,9.50
2010-10-01,9.40
2010-11-01,9.80
2010-12-01,9.30
2011-01-01,9.10
2011-02-01,9.00
2011-03-01,9.00
2011-04-01,9.10
2011-05-01,9.00
2011-06-01,9.10
2011-07-01,9.00
2011-08-01,9.00
2011-09-01,9.00
2011-10-01,8.80
2011-11-01,8.60
2011-12-01,8.50
2012-01-01,8.30
2012-02-01,8.30
2012-03-01,8.20
2012-04-01,8.20
2012-05-01,8.20
2012-06-01,8.20
2012-07-01,8.20
2012-08-01,8.10
2012-09-01,7.80
2012-10-01,7.80
2012-11-01,7.70
2012-12-01,7.90
2013-01-01,8.00
2013-02-01,7.70
2013-03-01,7.50
2013-04-01,7.60
2013-05-01,7.50
2013-06-01,7.50
2013-07-01,7.30
2013-08-01,7.20
2013-09-01,7.20
2013-10-01,7.20
2013-11-01,6.90
2013-12-01,6.70
2014-01-01,6.60
2014-02-01,6.70
2014-03-01,6.70
2014-04-01,6.20
2014-05-01,6.30
2014-06-01,6.10
2014-07-01,6.20
2014-08-01,6.10
2014-09-01,5.90
2014-10-01,5.70
2014-11-01,5.80
2014-12-01,5.60
2015-01-01,5.70
2015-02-01,5.50
2015-03-01,5.40
2015-04-01,5.40
2015-05-01,5.60
2015-06-01,5.30
2015-07-01,5.20
2015-08-01,5.10
2015-09-01,5.00
2015-10-01,5.00
2015-11-01,5.10
2015-12-01,5.00
2016-01-01,4.80
2016-02-01,4.90
2016-03-01,5.00
2016-04-01,5.10
2016-05-01,4.80
2016-06-01,4.90
2016-07-01,4.80
2016-08-01,4.90
2016-09-01,5.00
2016-10-01,4.90
2016-11-01,4.70
2016-12-01,4.70
2017-01-01,4.70
2017-02-01,4.60
2017-03-01,4.40
2017-04-01,4.40
2017-05-01,4.40
2017-06-01,4.30
2017-07-01,4.30
2017-08-01,4.40
2017-09-01,4.30
2017-10-01,4.20
2017-11-01,4.20
2017-12-01,4.10
2018-01-01,4.00
2018-02-01,4.10
2018-03-01,4.00
2018-04-01,4.00
2018-05-01,3.80
2018-06-01,4.00
2018-07-01,3.80
2018-08-01,3.80
2018-09-01,3.70
2018-10-01,3.80
2018-11-01,3.80
2018-12-01,3.90
2019-01-01,4.00
2019-02-01,3.80
2019-03-01,3.80
2019-04-01,3.60
2019-05-01,3.70
2019-06-01,3.60
2019-07-01,3.70
2019-08-01,3.70
2019-09-01,3.50
2019-10-01,3.60
2019-11-01,3.60
2019-12-01,3.60
2020-01-01,3.50
2020-02-01,3.50
2020-03-01,4.40
2020-04-01,14.70
2020-05-01,13.20
2020-06-01,11.00
2020-07-01,10.20
2020-08-01,8.40
2020-09-01,7.90
2020-10-01,6.90
2020-11-01,6.70
2020-12-01,6.70
2021-01-01,6.30
2021-02-01,6.20
2021-03-01,6.10
2021-04-01,6.10
2021-05-01,5.80
2021-06-01,5.90
2021-07-01,5.40
2021-08-01,5.20
2021-09-01,4.80
2021-10-01,4.50
2021-11-01,4.20
2021-12-01,3.90
2022-01-01,4.00
2022-02-01,3.80
2022-03-01,3.60
2022-04-01,3.60
2022-05-01,3.60
2022-06-01,3.60
2022-07-01,3.50
2022-08-01,3.70
2022-09-01,3.50
2022-10-01,3.70
2022-11-01,3.60
2022-12-01,3.50
2023-01-01,3.40
2023-02-01,3.60
2023-03-01,3.50
2023-04-01,3.40
2023-05-01,3.70
2023-06-01,3.60
2023-07-01,3.50
2023-08-01,3.80
2023-09-01,3.80
